property	count	property;label
P5153	37	'KKBox album ID'@en
P4518	35	'Melon album ID'@en
P3931	35	'copyright holder'@en
P2754	34	'production date'@en
P227	34	'GND ID'@en
P7274	33	'Naver VIBE album ID'@en
P2002	33	'Twitter username'@en
P6127	32	'Letterboxd film ID'@en
P268	31	'Bibliothèque nationale de France ID'@en
P8687	29	'social media followers'@en
P6398	29	'iTunes movie ID'@en
P4529	28	'Douban film ID'@en
P1407	28	'MusicBrainz series ID'@en
P7936	26	'business model'@en
P7143	26	'Acharts.co album ID'@en
P6839	24	'TV Tropes identifier'@en
P580	24	'start time'@en
P244	24	'Library of Congress authority ID'@en
P2013	24	'Facebook ID'@en
P5171	23	'Rockipedia release ID'@en
P2624	23	'MetroLyrics ID'@en
P972	22	'catalog'@en
P2031	22	'work period (start)'@en
P10135	22	'recording date'@en
P8546	20	'recording location'@en
P7212	19	'LyricsTranslate ID'@en
P4330	19	'contains'@en
P1814	19	'name in kana'@en
P582	18	'end time'@en
P50	18	'author'@en
P1424	18	'topic\'s main template'@en
P973	17	'described at URL'@en
P1562	17	'AllMovie title ID'@en
P1292	17	'DNB editions'@en
P910	16	'topic\'s main category'@en
P691	16	'NKCR AUT ID'@en
P1953	16	'Discogs artist ID'@en
P793	15	'significant event'@en
P641	15	'sport'@en
P5008	15	'on focus list of Wikimedia project'@en
P3265	15	'Myspace ID'@en
P276	15	'location'@en
P6216	14	'copyright status'@en
P4969	14	'derivative work'@en
P1343	14	'described by source'@en
P8313	13	'Den Store Danske ID'@en
P528	13	'catalog code'@en
P1431	13	'executive producer'@en
P98	12	'editor'@en
P921	12	'main subject'@en
P462	12	'color'@en
P364	12	'original language of film or TV show'@en
P8408	11	'KBpedia ID'@en
P4748	11	'Line Music album ID'@en
P3138	11	'OFDb film ID'@en
P9965	10	'Musik-Sammler.de artist ID'@en
P7704	10	'Europeana entity'@en
P6360	10	'Genius album numeric ID'@en
P5680	10	'Hoopla title ID'@en
P480	10	'FilmAffinity ID'@en
P2687	10	'NDL JPNO'@en
P1444	10	'destination point'@en
P9215	9	'set during recurring event'@en
P5813	9	'MusicBrainz release ID'@en
P5202	9	'adapted by'@en
P4983	9	'TMDb TV series ID'@en
P2529	9	'ČSFD film ID'@en
P176	8	'manufacturer'@en
P1705	8	'native label'@en
P941	7	'inspired by'@en
P625	7	'coordinate location'@en
P3143	7	'elFilm film ID'@en
P2704	7	'EIDR content ID'@en
P1258	7	'Rotten Tomatoes ID'@en
P9237	6	'reissue of'@en
P840	6	'narrative location'@en
P6802	6	'related image'@en
P269	6	'IdRef ID'@en
P2664	6	'units sold'@en
P1433	6	'published in'@en
P10291	6	'Wikisimpsons ID'@en
P10178	6	'Genie album ID'@en
P989	5	'spoken text audio'@en
P870	5	'instrumentation'@en
P7859	5	'WorldCat Identities ID'@en
P740	5	'location of formation'@en
P7327	5	'OFLC classification'@en
P710	5	'participant'@en
P5027	5	'number of representations'@en
P449	5	'original broadcaster'@en
P3553	5	'Zhihu topic ID'@en
P3219	5	'Encyclopædia Universalis ID'@en
P272	5	'production company'@en
P2093	5	'author name string'@en
P180	5	'depicts'@en
P135	5	'movement'@en
P123	5	'publisher'@en
P9813	4	'container'@en
P966	4	'MusicBrainz label ID'@en
P9068	4	'IFPI Danmark work ID'@en
P905	4	'PORT film ID'@en
P8294	4	'AusStage work ID'@en
P8189	4	'National Library of Israel J9U ID'@en
P737	4	'influenced by'@en
P3827	4	'JSTOR topic ID'@en
P3478	4	'Songkick artist ID'@en
P2684	4	'Kijkwijzer rating'@en
P1389	4	'product certification'@en
P1144	4	'Library of Congress Control Number (LCCN) (bibliographic)'@en
P9586	3	'Apple TV movie ID'@en
P935	3	'Commons gallery'@en
P8680	3	'FVLB work ID'@en
P826	3	'tonality'@en
P7818	3	'French Vikidia ID'@en
P7091	3	'Common Sense Media ID'@en
P6760	3	'Know Your Meme ID'@en
P6461	3	'Rock\'s Backpages artist ID'@en
P5331	3	'OCLC work ID'@en
P434	3	'MusicBrainz artist ID'@en
P344	3	'director of photography'@en
P2513	3	'Jamendo album ID'@en
P1448	3	'official name'@en
P1434	3	'takes place in fictional universe'@en
P1269	3	'facet of'@en
P1219	3	'Internet Broadway Database show ID'@en
P1040	3	'film editor'@en
P9883	2	'created for'@en
P957	2	'ISBN-10'@en
P949	2	'National Library of Israel ID (old)'@en
P915	2	'filming location'@en
P8298	2	'HBO Max ID'@en
P7334	2	'Vudu video ID'@en
P7194	2	'AZLyrics.com artist ID'@en
P7175	2	'Gaana.com album ID'@en
P674	2	'characters'@en
P648	2	'Open Library ID'@en
P6445	2	'Douban music ID'@en
P629	2	'edition or translation of'@en
P5882	2	'Muziekweb performer ID'@en
P58	2	'screenwriter'@en
P5707	2	'samples from work'@en
P5059	2	'modified version of'@en
P5032	2	'Filmweb.pl film ID'@en
P478	2	'volume'@en
P4665	2	'CineMagia title ID'@en
P460	2	'said to be the same as'@en
P443	2	'pronunciation audio'@en
P3929	2	'V&A item ID'@en
P3414	2	'Yle Areena item ID'@en
P3402	2	'CNC film rating (Romania)'@en
P2769	2	'budget'@en
P2722	2	'Deezer artist ID'@en
P2638	2	'TV.com ID'@en
P2550	2	'recording or performance of'@en
P2373	2	'Genius artist ID'@en
P2363	2	'NMHH film rating'@en
P2207	2	'Spotify track ID'@en
P213	2	'ISNI'@en
P1994	2	'AllMusic composition ID'@en
P1955	2	'Discogs label ID'@en
P1728	2	'AllMusic artist ID'@en
P1638	2	'working title'@en
P1365	2	'replaces'@en
P1265	2	'AlloCiné film ID'@en
P1191	2	'date of first performance'@en
P1113	2	'number of episodes'@en
P106	2	'occupation'@en
P10283	2	'OpenAlex ID'@en
P9899	1	'music created for'@en
P9767	1	'edition/version'@en
P963	1	'streaming media URL'@en
P950	1	'Biblioteca Nacional de España ID'@en
P8958	1	'ClassInd audiovisual work ID'@en
P8885	1	'Namuwiki ID'@en
P8813	1	'IMMuB album ID'@en
P87	1	'librettist'@en
P859	1	'sponsor'@en
P8419	1	'Archive of Our Own tag'@en
P8309	1	'Yle topic ID'@en
P827	1	'BBC programme ID'@en
P8179	1	'Canadiana Name Authority ID'@en
P8033	1	'Movie Review Query Engine ID'@en
P800	1	'notable work'@en
P7975	1	'Filmfront film ID'@en
P7970	1	'FandangoNow ID'@en
P7760	1	'Tubi movie ID'@en
P7418	1	'image of frontside'@en
P725	1	'voice actor'@en
P724	1	'Internet Archive ID'@en
P7109	1	'Acharts.co artist ID'@en
P683	1	'ChEBI ID'@en
P6500	1	'non-free artwork image URL'@en
P6351	1	'Genius artist numeric ID'@en
P6166	1	'quotes work'@en
P6104	1	'maintained by WikiProject'@en
P5987	1	'Indiancine.ma film ID'@en
P5829	1	'Television Academy Foundation show ID'@en
P5786	1	'Moviepilot.de film ID'@en
P569	1	'date of birth'@en
P5485	1	'SBN books ID'@en
P5395	1	'Canadian Encyclopedia article ID'@en
P5241	1	'Songfacts song ID'@en
P5028	1	'sound designer'@en
P4965	1	'Behind The Voice Actors video game ID'@en
P4933	1	'Big Cartoon Database ID'@en
P4806	1	'Gaming-History ID'@en
P4783	1	'Movieplayer film ID'@en
P4765	1	'Commons compatible image available at URL'@en
P4527	1	'UK Parliament thesaurus ID'@en
P451	1	'unmarried partner'@en
P447	1	'review score by'@en
P4438	1	'BFI Films, TV and people ID'@en
P4342	1	'Store norske leksikon ID'@en
P4277	1	'Daum movie ID'@en
P4276	1	'Cinémathèque québécoise work identifier'@en
P4208	1	'Billboard artist ID'@en
P409	1	'Libraries Australia ID'@en
P4077	1	'Pizmonet ID'@en
P406	1	'soundtrack release'@en
P404	1	'game mode'@en
P4013	1	'Giphy username'@en
P400	1	'platform'@en
P3854	1	'Soundtrack Collector ID'@en
P3851	1	'Cinenacional.com movie ID'@en
P3844	1	'Deutsche Synchronkartei film ID'@en
P3808	1	'The Numbers movie ID'@en
P3673	1	'film-documentaire.fr film ID'@en
P3579	1	'Sina Weibo user ID'@en
P3569	1	'Cultureel Woordenboek ID'@en
P3338	1	'Encyclopedia of Surfing ID'@en
P3216	1	'ClassInd rating'@en
P3212	1	'ISAN'@en
P3135	1	'elCinema film ID'@en
P3129	1	'cine.gr film ID'@en
P3113	1	'does not have part'@en
P3077	1	'Cineplex Germany film ID'@en
P2959	1	'permanent duplicated item'@en
P2888	1	'exact match'@en
P2850	1	'Apple Music artist ID (U.S. version)'@en
P275	1	'copyright license'@en
P2631	1	'TCM Movie Database film ID'@en
P2465	1	'Allcinema film ID'@en
P2437	1	'number of seasons'@en
P2354	1	'has list'@en
P2347	1	'YSO ID'@en
P2284	1	'price'@en
P2163	1	'FAST ID'@en
P212	1	'ISBN-13'@en
P2061	1	'aspect ratio (W:H)'@en
P2003	1	'Instagram username'@en
P2001	1	'Revised Romanization'@en
P1978	1	'USDA NDB number'@en
P1970	1	'MovieMeter film ID'@en
P1942	1	'McCune-Reischauer romanization'@en
P1902	1	'Spotify artist ID'@en
P1875	1	'represented by'@en
P186	1	'made from material'@en
P183	1	'endemic to'@en
P1813	1	'short name'@en
P1810	1	'named as'@en
P1617	1	'BBC Things ID'@en
P1451	1	'motto text'@en
P1441	1	'present in work'@en
P1430	1	'OpenPlaques subject ID'@en
P1296	1	'Gran Enciclopèdia Catalana ID'@en
P1256	1	'Iconclass notation'@en
P1236	1	'Parsons code'@en
P1225	1	'U.S. National Archives Identifier'@en
P1114	1	'quantity'@en
P110	1	'illustrator'@en
P1054	1	'NDL bib ID'@en
P10138	1	'Pandora album ID'@en
P10100	1	'SensCritique work ID'@en
P10030	1	'StopGame ID'@en
